"","chrom","BO","KI","MY","SP"
"1","1",2.80305313913043,4.43817162068965,3.25380787755102,5.99129230769231
"12","2",3.61106805190311,3.5481826875,4.01996696385542,2.57918167924528
"23","3",3.93428814166667,3.497058,3.03037497938144,6.87492209375
"24","4",3.79711065073529,4.01860063157895,3.79657710989011,2.78222608108108
"25","5",3.04753600383142,2.77061464705882,3.72755212068966,4.16737674285714
"26","6",3.36330220949721,4.69903508333333,4.14760106493507,2.64763664150943
"27","7",3.80066392941176,2.80012378125,3.22612143283582,3.15377187234043
"28","8",3.59778085084746,4.83177561111111,3.02415347826087,3.18351235135135
"29","9",3.29932048663102,6.280892,3.98994571428571,3.843941
"2","10",3.23999810666667,5.18094946153846,3.05898595098039,2.41778091428571
"3","11",3.51250931465517,3.11736186206897,4.06099285,3.58660303225806
"4","12",3.68327907352941,1.95245142424242,3.97498327906977,2.02098823404255
"5","13",3.58337913917526,5.37301509090909,4.2773136,4.7490433
"6","14",3.51530261206897,3.71111652,4.19017258,2.63178447368421
"7","15",2.98129333513514,3.0888232,3.05772805454545,4.5352423030303
"8","16",2.82800587437186,3.6364832173913,2.81638847619048,3.64764530434783
"9","17",3.11662863809524,3.3136376875,4.31186289655172,3.66971388888889
"10","18",2.61581842331288,4.53488393333333,3.91250464150943,2.06157225
"11","19",3.04599396103896,4.2193568125,3.3433411025641,1.55056461111111
"13","20",3.42670740909091,4.86795233333333,5.33275151111111,2.01742489473684
"14","21",2.88964662987013,3.27854369230769,4.14906572340425,5.56744171428571
"15","22",3.644726744,3.66294925,2.58795572340426,3.32431326086957
"16","23",2.80421667619048,3.02915770588235,2.64129603921569,2.02523211764706
"17","24",3.64170695488722,5.1625024,3.2312577761194,3.5282127
"18","25",3.63583658333333,1.8799282,4.20658352941176,2.68496010526316
"19","26",2.85983590990991,3.69058541666667,3.77835002857143,3.03069453333333
"20","27",2.94170976068376,5.02096055555556,6.0520392962963,9.2694579
"21","28",2.36280842056075,2.14627613333333,4.59143286842105,4.71828916666667
"22","29",2.38504396666667,3.879414,2.4569635,1.97296022222222
